label,text
1,小张，你明天需要把产品方案输出，然后给小王。小王后天把交互做一下，大后天评审。
1,我明天应该可以把这个文档搞定。
1,统计异常数据那么简单的事情，怎么可能要3天时间呢！今天下班前，务必把这个事情搞定！
1,李总说的这个想法，一定要在8月10日之前形成一个成熟的方案。
1,走廊里的空箱子太多了，小张你明天把它们全部处理掉。
1,说话人区分这个需求到底能不能做？我们不是说一定要实现，但至少要有个结论。小王跟进一下这个事情，这周五向我反馈一下可行性。
1,同学们，今天布置的课程作业明天放学之前交到我的助教那里，后天下午我会把作业情况反馈给大家。
1,我今天下午15点之前可以把这个程序里的错误解决掉。
1,产品方案不急，明天或者后天给到我都行。
1,宣传推文时间线已经定下来了，预热推文3篇，提前两周开始发布，总结推文一篇，活动结束后当周周末发布。
1,本周五小李和小王会去跟进赞助商相关事宜。
1,通知小张，快想办法来修理一下，今天中午12点之前把问题搞定。
1,今天下午五点半我有在知泉大楼有一个会议，提前半小时帮我准备好会议材料。
1,都已经一周了，产品方案评估什么时候能做好？就这么点事情，明天再出不了方案就走人吧！
1,小王，快点联系记者，下午三点召开紧急新闻发布会，把这件事的公共影响力降到最低！
1,这篇新闻稿很重要，中午12点之前一定要先把文案准备好发给我审核，下午两点左右文章配图摄影组那边会发过来，选好以后再插入文章里。
1,今天项目验收圆满结束了，大家这两个月来都辛苦了，今天晚上我请大家聚餐，桌我订好了，七点半信息港食堂，大家都来啊！
1,现在我们一代产品的研发已经接近尾声了，二代产品就要开始准备起来了。立项任务小张从今天开始做，下周一例会的时候讲一下步骤，以后每周汇报一下进度。
1,项目申请截止日期是9月5号，你至少要提前2天把所有要用的文书资料全部准备好，我也会帮你审核内容。
1,现在互联网市场扩大的速度远远赶不上竞争对手涌入的速度，我们必须时刻保持自我更新的势头。小李，你花一周时间做一下市场调研，一些其它兄弟公司的资料可以来我这里直接拿，下周三做一个PPT跟大家汇报一下。
